================================================================
  Route 3 (multitask)  GPU=6  TRACK=Track1
  thresholds=3,5,10,15  pos_weight=[0.5,8.0]
  mask_min_pos=5  multitask_mode=ord_bin_ter
  loss_weights=1.0,0.15,0.30,0.05,0.10  phq_warmup=30
  bin_boundary=5  ter_boundaries=5,10
  EPOCHS=300  FOLDS='0 1 2 3 4'  LOG=parallel_logs/route3_multitask_Track1_2026-05-15_16.11.15.log
================================================================
  [OK] fold CSV: kfold_splits/Track1_Elder_regression

## route3_multitask | Track1 | Fold 0
2026-05-15 16:11:17,663 - INFO - [Ordinal] thresholds=[3.0, 5.0, 10.0, 15.0]  pos_weight=[0.77, 2.45, 7.62, 8.00] (clamp=[0.50,8.00])  active_head_mask=[1.0, 1.0, 1.0, 0.0]  midpoints=['1.07', '3.42', '6.75', '11.33', '17.00']  multitask=ord_bin_ter  train_phq min=0.0 max=19.0 mean=4.06
2026-05-15 16:11:17,663 - INFO - [Multitask] loss_weights (ord,bin,ter,phq,cons)=[1.0, 0.15, 0.3, 0.05, 0.1]  bin_boundary=5.0  ter_boundaries=[5.0, 10.0]  phq_warmup=30
2026-05-15 16:11:18,531 - INFO - Experiment: fold_0_route3_multitask
2026-05-15 16:11:18,531 - INFO - Device: cuda
2026-05-15 16:11:18,531 - INFO - Train/Val: 69 / 18
2026-05-15 16:11:27,194 - INFO - Epoch 1/300 [Multitask] | train_loss=1.379913 | parts ord=0.9430 bin=0.7014 ter=1.0992 phq=0.0000 cons=0.0194 | [log1p] ccc=0.0000 rmse=6.5144 mae=5.8251 | [PHQ-9] ccc=0.0000 rmse=6.51 mae=5.83 pred_mean=8.56 pred_std=0.01
2026-05-15 16:11:28,654 - INFO - Epoch 2/300 [Multitask] | train_loss=1.361278 | parts ord=0.9426 bin=0.6795 ter=1.0497 phq=0.0000 cons=0.0180 | [log1p] ccc=-0.0001 rmse=6.4129 mae=5.7038 | [PHQ-9] ccc=-0.0001 rmse=6.41 mae=5.70 pred_mean=8.40 pred_std=0.01
